Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Reels,23762,43,102,Public,Brand Ambassador,Instagram,"New York City, USA",Not verified,2 posts per week,English,3257,video
Carousel,1940877,37,149,Public,Travel Blogger,Twitter,"Los Angeles, USA",Not verified,108 post per day,English,7472,video
Static Image,1194437,30,126,Private,Content Creator,YouTube,"San Francisco, USA",Verified,3 posts per week,English,3239,image
Carousel,1164447,63,145,Private,Entrepreneur,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,7574,image
Static Image,1683488,33,123,Public,Content Creator,Twitch,"San Jose, USA",Verified,3 posts per week,English,4572,text
Static Image,2783464,40,125,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,108 post per week,English,9056,image
Video,1186771,61,52,Private,Tech Reviewer,Twitter,"New York City, USA",Verified,4 posts per week,English,6948,image
Video,2478346,53,121,Public,Influencer,Facebook,"Seattle, USA",Not verified,2 posts per week,English,7048,image
Video,1303038,57,59,Public,User,Instagram,"Rome, Italy",Not verified,2 posts per week,English,680,video
Reels,1440546,47,131,Public,Brand Ambassador,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,6290,text
Video,2943999,43,131,Public,Brand Ambassador,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,8248,image
Static Image,2464331,64,110,Public,User,Instagram,"Sydney, Australia",Verified,3 posts per week,English,6804,video
Carousel,2767657,36,126,Private,Influencer,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,8457,video
Carousel,2016776,53,108,Private,Gamer,Instagram,"London, UK",Not verified,108 post per day,English,4214,image
Reels,1558161,27,104,Public,Fitness Enthusiast,Twitter,"New York City, USA",Verified,4 posts per week,English,9678,image
Reels,2297821,54,96,Public,Gamer,Facebook,"London, UK",Not verified,3 posts per week,English,9069,video
Static Image,2841068,29,126,Public,Content Creator,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,9831,image
Video,56461,29,68,Public,Influencer,Twitter,"Paris, France",Not verified,2 posts per week,English,696,video
Carousel,2686746,25,87,Public,Entrepreneur,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,6078,image
Carousel,3764499,29,113,Private,Entrepreneur,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,517,video
Text,2363845,59,76,Private,Gamer,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,3768,video
Carousel,933339,49,92,Private,Content Creator,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,6251,video
Reels,1978642,50,148,Public,Food Blogger,Goodreads,"London, UK",Not verified,108 post per day,English,4144,image
Static Image,736039,25,90,Private,Fitness Enthusiast,Twitter,"San Francisco, USA",Not verified,317 posts per week,English,7003,text
Static Image,2083663,47,94,Private,Social Activist,Instagram,"Paris, France",Not verified,318 posts per week,English,3808,image
Carousel,900590,56,108,Private,Tech Reviewer,Facebook,"New York City, USA",Not verified,319 posts per week,English,9265,video
Carousel,3605070,63,116,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Not verified,108 post per day,English,8696,video
Carousel,1230403,62,139,Public,User,Twitter,"Barcelona, Spain",Not verified,217 posts per week,English,867,image
Static Image,252070,66,103,Public,Food Blogger,Facebook,"Silicon Valley, USA",Verified,218 posts per week,English,2183,text
Static Image,3823242,21,84,Private,Food Blogger,Instagram,Yosemite National Park,Verified,3 posts per week,English,9985,video
Carousel,2068190,66,87,Public,Content Creator,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,3427,image
Static Image,2176333,59,124,Public,Content Creator,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,2674,text
Video,1490375,62,149,Public,Brand Ambassador,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,7914,video
Carousel,1769166,45,101,Private,Fitness Enthusiast,Instagram,"Paris, France",Not verified,3 posts per week,English,7109,video
Reels,2613473,50,141,Public,Influencer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,6439,video
Static Image,2738728,27,66,Public,Food Blogger,Instagram,"San Francisco, USA",Not verified,109 post per day,English,7040,image
Reels,3473012,32,63,Private,Entrepreneur,Twitter,"New York City, USA",Verified,2 posts per week,English,2676,text
Reels,485686,39,82,Public,Fitness Enthusiast,Spotify,"London, UK",Not verified,4 posts per week,English,162,video
Static Image,2276463,41,58,Public,Gamer,Instagram,"Paris, France",Verified,3 posts per week,English,1961,video
Video,1828469,24,98,Public,User,Instagram,"New York City, USA",Not verified,2 posts per week,English,5759,video
Video,499941,33,47,Public,Influencer,Twitter,"Los Angeles, USA",Not verified,109 post per day,English,4306,image
Static Image,2627487,57,142,Private,Social Activist,YouTube,"San Francisco, USA",Verified,3 posts per week,English,2483,image
Video,1679899,44,72,Public,Travel Blogger,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,6609,text
Reels,1123904,65,56,Private,User,Twitch,"San Jose, USA",Verified,3 posts per week,English,1126,text
Static Image,64458,27,104,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,109 post per week,English,7282,text
Reels,3948845,13,100,Public,Entrepreneur,Twitter,"New York City, USA",Verified,4 posts per week,English,577,image
Carousel,3193391,52,140,Private,Food Blogger,Facebook,"Seattle, USA",Not verified,2 posts per week,English,5978,video
Video,1786742,64,59,Public,Food Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4457,video
Static Image,1359302,33,60,Public,Travel Blogger,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,4188,video
Reels,1039606,38,49,Private,Fitness Enthusiast,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,1131,text
Text,4254664,35,100,Public,Entrepreneur,Instagram,"Sydney, Australia",Verified,3 posts per week,English,1287,image
Carousel,2575833,43,75,Public,Entrepreneur,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,8266,video
Reels,2260906,58,73,Public,Travel Blogger,Instagram,"London, UK",Not verified,109 post per day,English,1570,video
Carousel,2339797,25,96,Public,Influencer,Twitter,"New York City, USA",Verified,4 posts per week,English,5887,image
Video,3647484,71,104,Public,Content Creator,Facebook,"London, UK",Not verified,3 posts per week,English,2382,video
Video,2349882,36,112,Private,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,3456,video
Reels,1641860,24,113,Public,Social Activist,Twitter,"Paris, France",Not verified,2 posts per week,English,4980,image
Static Image,2382422,27,118,Public,Food Blogger,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,4270,image
Reels,934147,62,72,Public,Brand Ambassador,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,6834,image
Video,196954,29,130,Public,Social Activist,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,7898,video
Reels,1543320,49,103,Public,User,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,9997,video
Reels,3197404,22,74,Private,User,Goodreads,"London, UK",Not verified,109 post per day,English,3494,video
Text,550092,75,123,Public,Travel Blogger,Twitter,"San Francisco, USA",Not verified,320 posts per week,English,8206,video
Reels,2043176,47,148,Public,Gamer,Instagram,"Paris, France",Not verified,321 posts per week,English,593,text
Carousel,712025,49,56,Public,Entrepreneur,Facebook,"New York City, USA",Not verified,322 posts per week,English,1945,text
Static Image,3732646,46,93,Public,Social Activist,Instagram,"Los Angeles, USA",Not verified,109 post per day,English,53,video
Text,2487915,58,116,Public,Content Creator,Twitter,"Barcelona, Spain",Not verified,219 posts per week,English,1000,video
Reels,4229368,31,87,Private,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,220 posts per week,English,2266,video
Carousel,3491663,63,128,Private,Fitness Enthusiast,Instagram,Yosemite National Park,Verified,3 posts per week,English,6280,image
Reels,291965,62,122,Private,Food Blogger,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,8464,image
Static Image,1794791,59,61,Public,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1865,image
Carousel,594334,67,65,Public,User,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,457,text
Static Image,1054375,46,60,Public,Entrepreneur,Instagram,"Paris, France",Not verified,3 posts per week,English,392,video
Text,935556,63,109,Public,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,3995,text
Reels,2621228,52,156,Public,Influencer,Instagram,"San Francisco, USA",Not verified,110 post per day,English,7565,video
Reels,2114199,41,126,Public,Influencer,Twitter,"New York City, USA",Verified,2 posts per week,English,2318,image
Reels,1310072,41,127,Public,Travel Blogger,Spotify,"London, UK",Not verified,4 posts per week,English,3060,video
Carousel,2658058,56,55,Private,Fitness Enthusiast,Instagram,"Paris, France",Verified,3 posts per week,English,3987,text
Video,1942923,28,93,Public,Social Activist,Instagram,"New York City, USA",Not verified,2 posts per week,English,3042,text
Reels,1988097,60,144,Private,User,Twitter,"Los Angeles, USA",Not verified,110 post per day,English,2597,video
Reels,3021207,17,101,Public,Brand Ambassador,YouTube,"San Francisco, USA",Verified,3 posts per week,English,7145,video
Static Image,2687202,69,78,Public,Tech Reviewer,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,3255,video
Reels,484655,30,99,Public,Influencer,Twitch,"San Jose, USA",Verified,3 posts per week,English,2506,text
Static Image,2056585,34,152,Public,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,110 post per week,English,775,video
Carousel,3383320,36,80,Public,Food Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,822,text
Video,1843370,68,65,Public,Food Blogger,Facebook,"Seattle, USA",Not verified,2 posts per week,English,3019,video
Text,3528474,68,101,Private,Brand Ambassador,Instagram,"Rome, Italy",Not verified,2 posts per week,English,9223,image
Static Image,480889,38,68,Private,Tech Reviewer,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,6883,image
Text,1514278,29,111,Private,Gamer,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,743,image
Carousel,2029054,45,71,Private,Content Creator,Instagram,"Sydney, Australia",Verified,3 posts per week,English,5462,text
Reels,1540988,41,132,Private,Social Activist,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,881,text
Static Image,2850385,55,107,Public,Brand Ambassador,Instagram,"London, UK",Not verified,110 post per day,English,4523,video
Static Image,1764564,45,131,Public,Content Creator,Twitter,"New York City, USA",Verified,4 posts per week,English,9977,image
Reels,1931699,71,57,Private,Entrepreneur,Facebook,"London, UK",Not verified,3 posts per week,English,7743,video
Reels,2879104,22,93,Public,Social Activist,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,4721,image
Carousel,35850,22,119,Public,Gamer,Twitter,"Paris, France",Not verified,2 posts per week,English,5427,image
Reels,814663,61,121,Public,Food Blogger,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,654,image
Carousel,1489073,29,113,Private,Entrepreneur,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,2231,video
Video,1936815,37,134,Public,Tech Reviewer,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,2953,image
Carousel,1689950,41,135,Public,Brand Ambassador,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,2819,image
Carousel,1333523,44,135,Public,Gamer,Goodreads,"London, UK",Not verified,110 post per day,English,7187,video
Static Image,3748172,40,59,Public,Influencer,Twitter,"San Francisco, USA",Not verified,323 posts per week,English,8856,video
Static Image,1487648,68,160,Private,Travel Blogger,Instagram,"Paris, France",Not verified,324 posts per week,English,2904,text
Video,2258158,63,134,Public,Food Blogger,Facebook,"New York City, USA",Not verified,325 posts per week,English,7377,video
Static Image,1959232,67,105,Private,Fitness Enthusiast,Instagram,"Los Angeles, USA",Not verified,110 post per day,English,7839,video
Reels,1130330,24,96,Public,Entrepreneur,Twitter,"Barcelona, Spain",Not verified,221 posts per week,English,1397,image
Video,1403352,40,76,Public,Entrepreneur,Facebook,"Silicon Valley, USA",Verified,222 posts per week,English,3913,text
Static Image,1126218,58,51,Public,Tech Reviewer,Instagram,Yosemite National Park,Verified,3 posts per week,English,8737,image
Carousel,3498891,17,79,Public,Food Blogger,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,7679,image
Static Image,795854,49,73,Public,Entrepreneur,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,7940,text
Text,3027606,60,121,Public,Influencer,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,6391,video
Reels,3137100,23,136,Private,Gamer,Instagram,"Paris, France",Not verified,3 posts per week,English,3278,text
Reels,1068506,53,123,Private,Gamer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1205,image
Carousel,1070728,33,76,Public,Travel Blogger,Instagram,"San Francisco, USA",Not verified,111 post per day,English,9148,video
Carousel,1538729,66,92,Public,Food Blogger,Twitter,"New York City, USA",Verified,2 posts per week,English,4257,text
Reels,2070533,29,125,Public,Travel Blogger,Spotify,"London, UK",Not verified,4 posts per week,English,136,video
Static Image,370941,51,77,Public,Fitness Enthusiast,Instagram,"Paris, France",Verified,3 posts per week,English,4559,text
Carousel,17612,41,53,Public,Fitness Enthusiast,Instagram,"New York City, USA",Not verified,2 posts per week,English,4034,image
Text,3757246,54,49,Public,Social Activist,Twitter,"Los Angeles, USA",Not verified,111 post per day,English,491,video
Video,88558,56,131,Private,Gamer,YouTube,"San Francisco, USA",Verified,3 posts per week,English,4225,video
Static Image,844743,21,80,Public,User,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,5973,video
Video,3552449,40,52,Public,Content Creator,Twitch,"San Jose, USA",Verified,3 posts per week,English,1646,video
Carousel,1260453,48,117,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Not verified,111 post per week,English,6130,video
Reels,2389520,42,107,Public,Social Activist,Twitter,"New York City, USA",Verified,4 posts per week,English,6371,text
Static Image,2671367,44,54,Public,Fitness Enthusiast,Facebook,"Seattle, USA",Not verified,2 posts per week,English,8814,video
Video,1408547,64,73,Public,Tech Reviewer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4310,text
Video,1694937,60,55,Private,Tech Reviewer,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,867,text
Reels,275307,26,137,Private,Brand Ambassador,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,7935,image
Text,1740980,32,71,Private,Fitness Enthusiast,Instagram,"Sydney, Australia",Verified,3 posts per week,English,3766,text
Carousel,2225337,59,86,Public,Brand Ambassador,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,2121,image
Video,3006615,33,114,Public,Tech Reviewer,Instagram,"London, UK",Not verified,111 post per day,English,1989,text
Text,1444424,66,53,Public,Fitness Enthusiast,Twitter,"New York City, USA",Verified,4 posts per week,English,4371,image
Carousel,4440368,27,140,Public,Gamer,Facebook,"London, UK",Not verified,3 posts per week,English,7651,video
Video,495224,48,65,Public,Brand Ambassador,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,7496,text
Carousel,1664592,45,129,Public,Fitness Enthusiast,Twitter,"Paris, France",Not verified,2 posts per week,English,3398,video
Reels,31095,33,118,Public,Social Activist,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,7581,text
Static Image,932641,61,54,Public,Brand Ambassador,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,3263,video
Static Image,3046123,47,61,Private,Fitness Enthusiast,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,6172,video
Text,2826624,39,115,Public,Travel Blogger,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,1868,image
Static Image,1194370,71,52,Public,Gamer,Goodreads,"London, UK",Not verified,111 post per day,English,2826,image
Reels,1497746,24,71,Public,Brand Ambassador,Twitter,"San Francisco, USA",Not verified,326 posts per week,English,6252,text
Video,1511831,23,150,Public,Content Creator,Instagram,"Paris, France",Not verified,327 posts per week,English,434,text
Text,883622,44,80,Public,Tech Reviewer,Facebook,"New York City, USA",Not verified,328 posts per week,English,1621,video
Carousel,494709,29,83,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,111 post per day,English,4124,image
Text,1418446,47,66,Private,Social Activist,Twitter,"Barcelona, Spain",Not verified,223 posts per week,English,9016,text
Carousel,3004966,22,121,Public,Tech Reviewer,Facebook,"Silicon Valley, USA",Verified,224 posts per week,English,8565,image
Video,4175730,60,75,Private,Social Activist,Instagram,Yosemite National Park,Verified,3 posts per week,English,7932,image
Reels,2866108,47,88,Public,Travel Blogger,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,9998,text
Carousel,185008,36,71,Public,Influencer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,198,video
Reels,343270,25,79,Public,Brand Ambassador,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,581,video
Static Image,3483523,56,82,Public,Travel Blogger,Instagram,"Paris, France",Not verified,3 posts per week,English,4085,image
Reels,2286001,56,65,Public,Food Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,317,video
Carousel,2419210,66,140,Public,Influencer,Instagram,"San Francisco, USA",Not verified,112 post per day,English,4727,image
Static Image,1737137,33,79,Public,Brand Ambassador,Twitter,"New York City, USA",Verified,2 posts per week,English,3944,text
Text,137425,36,71,Private,Influencer,Spotify,"London, UK",Not verified,4 posts per week,English,6675,text
Reels,2062641,46,104,Public,Gamer,Instagram,"Paris, France",Verified,3 posts per week,English,2757,video
Carousel,1497619,76,99,Public,Fitness Enthusiast,Instagram,"New York City, USA",Not verified,2 posts per week,English,7628,text
Reels,2384072,68,118,Private,Entrepreneur,Twitter,"Los Angeles, USA",Not verified,112 post per day,English,8042,video
Carousel,487810,62,40,Public,Content Creator,YouTube,"San Francisco, USA",Verified,3 posts per week,English,8199,video
Video,1435120,62,146,Private,Entrepreneur,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,4931,text
Video,3266151,40,137,Public,Tech Reviewer,Twitch,"San Jose, USA",Verified,3 posts per week,English,9178,image
Static Image,3942210,62,142,Private,Gamer,Instagram,"Los Angeles, USA",Not verified,112 post per week,English,7577,image
Reels,352338,35,80,Public,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,9415,image
Video,1796567,56,146,Public,Gamer,Facebook,"Seattle, USA",Not verified,2 posts per week,English,867,text
Static Image,426677,58,52,Public,Brand Ambassador,Instagram,"Rome, Italy",Not verified,2 posts per week,English,6990,image
Video,2259869,68,104,Public,Gamer,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,5296,image
Static Image,2376319,27,145,Public,Social Activist,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,6965,video
Video,1286333,38,131,Public,Social Activist,Instagram,"Sydney, Australia",Verified,3 posts per week,English,2204,text
Static Image,1829150,31,114,Public,Influencer,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,723,text
Reels,828115,41,70,Public,Social Activist,Instagram,"London, UK",Not verified,112 post per day,English,7641,video
Text,4539103,47,154,Public,User,Twitter,"New York City, USA",Verified,4 posts per week,English,7130,video
Static Image,245737,42,84,Public,Food Blogger,Facebook,"London, UK",Not verified,3 posts per week,English,381,image
Static Image,2847865,42,69,Public,Food Blogger,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,2757,video
Carousel,965644,43,94,Public,Tech Reviewer,Twitter,"Paris, France",Not verified,2 posts per week,English,4265,text
Static Image,1529624,25,150,Public,Entrepreneur,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,1283,video
Static Image,1340459,61,63,Public,Influencer,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,3814,text
Carousel,2935673,65,88,Private,Fitness Enthusiast,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,3212,text
Carousel,1400420,52,133,Public,User,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,6512,image
Static Image,1497516,65,99,Private,Tech Reviewer,Goodreads,"London, UK",Not verified,112 post per day,English,216,text
Video,2087894,37,151,Private,User,Twitter,"San Francisco, USA",Not verified,329 posts per week,English,1517,image
Static Image,657952,30,74,Public,Social Activist,Instagram,"Paris, France",Not verified,330 posts per week,English,1838,video
Carousel,3626946,33,112,Public,Tech Reviewer,Facebook,"New York City, USA",Not verified,331 posts per week,English,9598,video
Static Image,2639587,55,121,Public,Gamer,Instagram,"Los Angeles, USA",Not verified,112 post per day,English,8151,text
Carousel,1140104,36,54,Private,User,Twitter,"Barcelona, Spain",Not verified,225 posts per week,English,9864,video
Reels,667866,37,151,Private,Brand Ambassador,Facebook,"Silicon Valley, USA",Verified,226 posts per week,English,7001,text
Carousel,3925906,63,62,Public,Influencer,Instagram,Yosemite National Park,Verified,3 posts per week,English,584,text
Carousel,703767,18,113,Public,Travel Blogger,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,3714,text
Carousel,351882,20,95,Private,Gamer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1183,video
Reels,565049,56,55,Private,Entrepreneur,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,6490,image
Carousel,1280058,46,130,Public,Gamer,Instagram,"Paris, France",Not verified,3 posts per week,English,8606,text
Reels,2414877,34,143,Private,Influencer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,2978,text
Static Image,1351822,38,129,Public,Gamer,Instagram,"San Francisco, USA",Not verified,113 post per day,English,2781,text
Reels,4224073,39,59,Public,Social Activist,Twitter,"New York City, USA",Verified,2 posts per week,English,4910,text
Reels,3379370,47,52,Public,Travel Blogger,Spotify,"London, UK",Not verified,4 posts per week,English,7657,text
Video,512174,22,76,Private,Brand Ambassador,Instagram,"Paris, France",Verified,3 posts per week,English,1544,video
Carousel,440439,63,104,Public,Tech Reviewer,Instagram,"New York City, USA",Not verified,2 posts per week,English,524,text
Static Image,2320957,62,71,Public,Food Blogger,Twitter,"Los Angeles, USA",Not verified,113 post per day,English,5737,image
Carousel,3889732,45,59,Public,Fitness Enthusiast,YouTube,"San Francisco, USA",Verified,3 posts per week,English,1715,image
Carousel,3237081,47,46,Public,Entrepreneur,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,3995,video
Static Image,1817594,59,78,Private,Travel Blogger,Twitch,"San Jose, USA",Verified,3 posts per week,English,2532,image
Static Image,899871,21,124,Private,Fitness Enthusiast,Instagram,"Los Angeles, USA",Not verified,113 post per week,English,5814,video
Video,4267330,44,138,Private,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,1291,text
Static Image,135990,50,137,Private,Travel Blogger,Facebook,"Seattle, USA",Not verified,2 posts per week,English,5087,image
Text,1393193,41,95,Public,Influencer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3622,video
Carousel,1241215,54,117,Public,Entrepreneur,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,342,text
Carousel,607182,27,61,Private,Entrepreneur,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,6963,text
Carousel,1346810,46,95,Public,Entrepreneur,Instagram,"Sydney, Australia",Verified,3 posts per week,English,9647,image
Carousel,2920449,59,75,Private,Content Creator,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,4898,image
Static Image,907805,10,131,Private,Tech Reviewer,Instagram,"London, UK",Not verified,113 post per day,English,4295,video
Static Image,834390,58,151,Private,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,7008,text
Carousel,3251633,61,98,Private,Travel Blogger,Facebook,"London, UK",Not verified,3 posts per week,English,9833,text
Text,1746024,61,141,Public,Brand Ambassador,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,7365,text
Video,807338,53,65,Public,Influencer,Twitter,"Paris, France",Not verified,2 posts per week,English,4554,video
Reels,1812222,60,124,Private,User,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,6255,image
Carousel,107388,43,98,Public,User,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,3148,image
Carousel,4944106,37,97,Private,Tech Reviewer,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,3338,text
Carousel,640471,58,156,Public,Influencer,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,1371,video
Carousel,3178315,51,101,Public,User,Goodreads,"London, UK",Not verified,113 post per day,English,7667,video
Static Image,1325920,33,122,Private,Social Activist,Twitter,"San Francisco, USA",Not verified,332 posts per week,English,3891,image
Carousel,968596,41,65,Private,Fitness Enthusiast,Instagram,"Paris, France",Not verified,333 posts per week,English,4014,video
Reels,1010363,35,57,Private,Content Creator,Facebook,"New York City, USA",Not verified,334 posts per week,English,2635,text
Text,800589,36,51,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,113 post per day,English,220,video
Static Image,983311,32,67,Public,Food Blogger,Twitter,"Barcelona, Spain",Not verified,227 posts per week,English,8414,image
Text,3030272,34,122,Private,Food Blogger,Facebook,"Silicon Valley, USA",Verified,228 posts per week,English,2457,text
Carousel,2667260,46,74,Public,User,Instagram,Yosemite National Park,Verified,3 posts per week,English,3987,text
Reels,2146670,76,115,Private,User,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,91,video
Static Image,3370298,61,89,Public,Entrepreneur,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,9933,image
Carousel,1077303,53,100,Public,Influencer,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,997,video
Carousel,1208745,19,62,Public,Food Blogger,Instagram,"Paris, France",Not verified,3 posts per week,English,9751,text
Static Image,4153371,61,63,Public,Fitness Enthusiast,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8753,video
Static Image,1021145,47,61,Public,Brand Ambassador,Instagram,"San Francisco, USA",Not verified,114 post per day,English,4543,video
Reels,682173,42,83,Public,Tech Reviewer,Twitter,"New York City, USA",Verified,2 posts per week,English,3410,video
Reels,1702810,26,139,Public,Tech Reviewer,Spotify,"London, UK",Not verified,4 posts per week,English,5174,video
Reels,2081018,50,125,Public,Content Creator,Instagram,"Paris, France",Verified,3 posts per week,English,9479,text
Carousel,3813139,15,136,Public,Fitness Enthusiast,Instagram,"New York City, USA",Not verified,2 posts per week,English,2492,image
Reels,1580185,29,111,Private,User,Twitter,"Los Angeles, USA",Not verified,114 post per day,English,5547,text
Carousel,1363185,41,93,Public,Content Creator,YouTube,"San Francisco, USA",Verified,3 posts per week,English,5448,text
Carousel,1524413,66,151,Public,Brand Ambassador,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,8167,image
Text,23178,50,107,Private,Travel Blogger,Twitch,"San Jose, USA",Verified,3 posts per week,English,2689,text
Static Image,2507830,53,55,Private,Food Blogger,Instagram,"Los Angeles, USA",Not verified,114 post per week,English,6584,video
Video,2398978,48,79,Public,Social Activist,Twitter,"New York City, USA",Verified,4 posts per week,English,6782,image
Reels,1726846,32,41,Public,Tech Reviewer,Facebook,"Seattle, USA",Not verified,2 posts per week,English,4969,text
Reels,257899,36,109,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,388,image
Carousel,1091591,36,129,Public,Gamer,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,5575,text
Carousel,2624790,38,79,Private,Influencer,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,2869,video
Carousel,4153179,68,146,Public,Content Creator,Instagram,"Sydney, Australia",Verified,3 posts per week,English,7054,video
Video,1463304,19,123,Public,Food Blogger,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,8038,image
Static Image,1974730,36,120,Public,Content Creator,Instagram,"London, UK",Not verified,114 post per day,English,8231,video
Static Image,765432,48,140,Public,Fitness Enthusiast,Twitter,"New York City, USA",Verified,4 posts per week,English,4204,text
Reels,647489,55,153,Private,Social Activist,Facebook,"London, UK",Not verified,3 posts per week,English,8881,video
Text,1262448,36,146,Public,Food Blogger,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,6673,video
Carousel,1286915,15,77,Public,Content Creator,Twitter,"Paris, France",Not verified,2 posts per week,English,8125,video
Reels,1044460,38,71,Private,Fitness Enthusiast,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,6869,text
